strong.past,COCA.Ved.reg,COCA.Ved.irreg,REG.AV
drove,2,25382,7.87898E-05
sank,1,5039,0.000198413
sprang,1,2727,0.000366569
shrank,2,1365,0.001463058
stank,4,506,0.007843137
crept,65,2544,0.02491376
rang,659,7442,0.081347982
knelt,334,3001,0.100149925
wove,280,760,0.269230769
dove,416,871,0.323232323
leapt,2356,2048,0.534968211
dreamt,3377,569,0.855803345
hove,1242,98,0.926865672
spelt,1317,70,0.949531363
smelt,7010,138,0.9806939
spilt,1789,35,0.980811404
spoilt,709,11,0.984722222
leant,15050,78,0.994843998
learnt,33315,138,0.995874809
throve,1054,0,1
